Readcode,MedicalCondition
D410000,CPRD_2ry_polycythaemia
D410011,CPRD_2ry_polycythaemia
D410100,CPRD_2ry_polycythaemia
D410200,CPRD_2ry_polycythaemia
D410300,CPRD_2ry_polycythaemia
D410400,CPRD_2ry_polycythaemia
D410.00,CPRD_2ry_polycythaemia
D410z00,CPRD_2ry_polycythaemia
7A11000,CPRD_AAA
7A11200,CPRD_AAA
7A11211,CPRD_AAA
7A13.00,CPRD_AAA
7A13.11,CPRD_AAA
7A13300,CPRD_AAA
7A13400,CPRD_AAA
7A13411,CPRD_AAA
7A13y00,CPRD_AAA
7A13z00,CPRD_AAA
G714.00,CPRD_AAA
G714.11,CPRD_AAA
G716.00,CPRD_AAA
G716000,CPRD_AAA
14AE.00,CPRD_AAA
6A61.00,CPRD_ADHD
8BPT.00,CPRD_ADHD
9Ngp.00,CPRD_ADHD
E2E0100,CPRD_ADHD
E2E1.00,CPRD_ADHD
E2E2.00,CPRD_ADHD
E2E..00,CPRD_ADHD
E2E..11,CPRD_ADHD
E2Ey.00,CPRD_ADHD
E2Ez.00,CPRD_ADHD
Eu84400,CPRD_ADHD
Eu90000,CPRD_ADHD
Eu90011,CPRD_ADHD
Eu90100,CPRD_ADHD
Eu90111,CPRD_ADHD
Eu90.00,CPRD_ADHD
Eu90y00,CPRD_ADHD
Eu90z00,CPRD_ADHD
Eu90z11,CPRD_ADHD
Eu90z12,CPRD_ADHD
14AN.00,CPRD_AF
14AR.00,CPRD_AF
212R.00,CPRD_AF
662S.00,CPRD_AF
6A9..00,CPRD_AF
9Os..00,CPRD_AF
9Os0.00,CPRD_AF
9Os1.00,CPRD_AF
9Os2.00,CPRD_AF
9Os3.00,CPRD_AF
9Os4.00,CPRD_AF
9hF..00,CPRD_AF
9hF1.00,CPRD_AF
G573200,CPRD_AF
G573400,CPRD_AF
G573500,CPRD_AF
3272.00,CPRD_AF
G573000,CPRD_AF
G573300,CPRD_AF
G573.00,CPRD_AF
G573z00,CPRD_AF
3273.00,CPRD_AF
G573100,CPRD_AF
146D.00,CPRD_BAD
1S42.00,CPRD_BAD
212V.00,CPRD_BAD
E110000,CPRD_BAD
E110100,CPRD_BAD
E110200,CPRD_BAD
E110300,CPRD_BAD
E110400,CPRD_BAD
E110500,CPRD_BAD
E110600,CPRD_BAD
E110.00,CPRD_BAD
E110.11,CPRD_BAD
E110z00,CPRD_BAD
E111000,CPRD_BAD
E111100,CPRD_BAD
E111200,CPRD_BAD
E111300,CPRD_BAD
E111400,CPRD_BAD
E111500,CPRD_BAD
E111600,CPRD_BAD
E111.00,CPRD_BAD
E111z00,CPRD_BAD
E114000,CPRD_BAD
E114100,CPRD_BAD
E114200,CPRD_BAD
E114300,CPRD_BAD
E114400,CPRD_BAD
E114500,CPRD_BAD
E114600,CPRD_BAD
E114.00,CPRD_BAD
E114.11,CPRD_BAD
E114z00,CPRD_BAD
E115000,CPRD_BAD
E115100,CPRD_BAD
E115200,CPRD_BAD
E115300,CPRD_BAD
E115400,CPRD_BAD
E115500,CPRD_BAD
E115600,CPRD_BAD
E115.00,CPRD_BAD
E115.11,CPRD_BAD
E115z00,CPRD_BAD
E116000,CPRD_BAD
E116100,CPRD_BAD
E116200,CPRD_BAD
E116300,CPRD_BAD
E116400,CPRD_BAD
E116500,CPRD_BAD
E116600,CPRD_BAD
E116.00,CPRD_BAD
E116z00,CPRD_BAD
E117000,CPRD_BAD
E117100,CPRD_BAD
E117200,CPRD_BAD
E117300,CPRD_BAD
E117400,CPRD_BAD
E117500,CPRD_BAD
E117600,CPRD_BAD
E117.00,CPRD_BAD
E117z00,CPRD_BAD
E11..11,CPRD_BAD
E11..13,CPRD_BAD
E11y000,CPRD_BAD
E11y100,CPRD_BAD
E11y300,CPRD_BAD
E11y.00,CPRD_BAD
E11yz00,CPRD_BAD
Eu30000,CPRD_BAD
Eu30100,CPRD_BAD
Eu30200,CPRD_BAD
Eu30211,CPRD_BAD
Eu30212,CPRD_BAD
Eu30.00,CPRD_BAD
Eu30.11,CPRD_BAD
Eu30y00,CPRD_BAD
Eu30z00,CPRD_BAD
Eu30z11,CPRD_BAD
Eu31000,CPRD_BAD
Eu31100,CPRD_BAD
Eu31200,CPRD_BAD
Eu31300,CPRD_BAD
Eu31400,CPRD_BAD
Eu31500,CPRD_BAD
Eu31600,CPRD_BAD
Eu31700,CPRD_BAD
Eu31800,CPRD_BAD
Eu31900,CPRD_BAD
Eu31911,CPRD_BAD
Eu31.00,CPRD_BAD
Eu31.11,CPRD_BAD
Eu31.12,CPRD_BAD
Eu31.13,CPRD_BAD
Eu31y00,CPRD_BAD
Eu31y11,CPRD_BAD
Eu31y12,CPRD_BAD
Eu31z00,CPRD_BAD
Eu33213,CPRD_BAD
Eu33312,CPRD_BAD
ZRby100,CPRD_BAD
ZV11111,CPRD_BAD
ZV11112,CPRD_BAD
14E1.00,CPRD_BPH
1AA..00,CPRD_BPH
K200.00,CPRD_BPH
K201.00,CPRD_BPH
K202.00,CPRD_BPH
K20..00,CPRD_BPH
K20..14,CPRD_BPH
K20..15,CPRD_BPH
K20..16,CPRD_BPH
K20z.00,CPRD_BPH
66k0.00,CPRD_CF
66k..00,CPRD_CF
C10N100,CPRD_CF
C370000,CPRD_CF
C370100,CPRD_CF
C370111,CPRD_CF
C370200,CPRD_CF
C370300,CPRD_CF
C370400,CPRD_CF
C370500,CPRD_CF
C370700,CPRD_CF
C370800,CPRD_CF
C370900,CPRD_CF
C370.00,CPRD_CF
C370.11,CPRD_CF
C370.12,CPRD_CF
C370y00,CPRD_CF
C370z00,CPRD_CF
14AL.00,CPRD_CHD_NOS
6A2..00,CPRD_CHD_NOS
6A4..00,CPRD_CHD_NOS
8B3k.00,CPRD_CHD_NOS
8H2V.00,CPRD_CHD_NOS
G3...00,CPRD_CHD_NOS
G3...11,CPRD_CHD_NOS
G3...12,CPRD_CHD_NOS
G3...13,CPRD_CHD_NOS
G31..00,CPRD_CHD_NOS
G311000,CPRD_CHD_NOS
G311011,CPRD_CHD_NOS
G31y.00,CPRD_CHD_NOS
G31y200,CPRD_CHD_NOS
G31y300,CPRD_CHD_NOS
G31yz00,CPRD_CHD_NOS
G34..00,CPRD_CHD_NOS
G340.00,CPRD_CHD_NOS
G340.12,CPRD_CHD_NOS
G343.00,CPRD_CHD_NOS
G344.00,CPRD_CHD_NOS
G34y.00,CPRD_CHD_NOS
G34y100,CPRD_CHD_NOS
G34yz00,CPRD_CHD_NOS
G34z.00,CPRD_CHD_NOS
G34z000,CPRD_CHD_NOS
G3y..00,CPRD_CHD_NOS
G3z..00,CPRD_CHD_NOS
Gyu3.00,CPRD_CHD_NOS
Gyu3200,CPRD_CHD_NOS
Gyu3300,CPRD_CHD_NOS
14B3.12,CPRD_COPD
H310000,CPRD_COPD
H310.00,CPRD_COPD
H310z00,CPRD_COPD
H311000,CPRD_COPD
H311100,CPRD_COPD
H311.00,CPRD_COPD
H311z00,CPRD_COPD
H312000,CPRD_COPD
H312011,CPRD_COPD
H312100,CPRD_COPD
H312200,CPRD_COPD
H312300,CPRD_COPD
H312.00,CPRD_COPD
H312z00,CPRD_COPD
H313.00,CPRD_COPD
H31..00,CPRD_COPD
H31y100,CPRD_COPD
H31y.00,CPRD_COPD
H31yz00,CPRD_COPD
H31z.00,CPRD_COPD
H320000,CPRD_COPD
H320100,CPRD_COPD
H320200,CPRD_COPD
H320300,CPRD_COPD
H320.00,CPRD_COPD
H320z00,CPRD_COPD
H321.00,CPRD_COPD
H322.00,CPRD_COPD
H32..00,CPRD_COPD
H32y000,CPRD_COPD
H32y100,CPRD_COPD
H32y111,CPRD_COPD
H32y200,CPRD_COPD
H32y.00,CPRD_COPD
H32yz00,CPRD_COPD
H32z.00,CPRD_COPD
H36..00,CPRD_COPD
H37..00,CPRD_COPD
H38..00,CPRD_COPD
H39..00,CPRD_COPD
H3A..00,CPRD_COPD
H3...00,CPRD_COPD
H3...11,CPRD_COPD
H3y0.00,CPRD_COPD
H3y1.00,CPRD_COPD
H3y..00,CPRD_COPD
H3y..11,CPRD_COPD
H3z..00,CPRD_COPD
H3z..11,CPRD_COPD
H464000,CPRD_COPD
H464100,CPRD_COPD
H583200,CPRD_COPD
Hyu3000,CPRD_COPD
Hyu3100,CPRD_COPD
1ABB.00,CPRD_ED
1ABC.00,CPRD_ED
1D1B.00,CPRD_ED
7A6G000,CPRD_ED
7A6G500,CPRD_ED
7C25B00,CPRD_ED
7C25E00,CPRD_ED
7C25F00,CPRD_ED
8BB4.00,CPRD_ED
8HTj.00,CPRD_ED
E227300,CPRD_ED
E227311,CPRD_ED
Eu52200,CPRD_ED
Eu52212,CPRD_ED
Eu52213,CPRD_ED
K27y100,CPRD_ED
K27y700,CPRD_ED
Z9E9.00,CPRD_ED
ZG43600,CPRD_ED
14S2.00,CPRD_ESRD
14V2.00,CPRD_ESRD
14V2.11,CPRD_ESRD
1Z14.00,CPRD_ESRD
1Z1K.00,CPRD_ESRD
1Z1L.00,CPRD_ESRD
1Z1L.11,CPRD_ESRD
4I29.00,CPRD_ESRD
4N0..00,CPRD_ESRD
4N2..00,CPRD_ESRD
7B00100,CPRD_ESRD
7B00111,CPRD_ESRD
7B00200,CPRD_ESRD
7B00211,CPRD_ESRD
7B00212,CPRD_ESRD
7B00300,CPRD_ESRD
7B00400,CPRD_ESRD
7B00500,CPRD_ESRD
7B00.00,CPRD_ESRD
7B00y00,CPRD_ESRD
7B00z00,CPRD_ESRD
7B01511,CPRD_ESRD
7B06300,CPRD_ESRD
7B0F300,CPRD_ESRD
7B0F.00,CPRD_ESRD
7B0Fy00,CPRD_ESRD
7B0Fz00,CPRD_ESRD
7L1A000,CPRD_ESRD
7L1A011,CPRD_ESRD
7L1A100,CPRD_ESRD
7L1A200,CPRD_ESRD
7L1A400,CPRD_ESRD
7L1A500,CPRD_ESRD
7L1A600,CPRD_ESRD
7L1A.11,CPRD_ESRD
7L1B000,CPRD_ESRD
7L1B100,CPRD_ESRD
7L1B200,CPRD_ESRD
7L1B.11,CPRD_ESRD
7L1C000,CPRD_ESRD
