code,term
MVC,MCV
CRP,CRP
Hemoglobin,Hemoglobin
TIBC,TIBC
HbA1c,HbA1c
plasma_viscosity,Plasma viscosity
ESR,ESR
GGT,GGT
lymphocyte,Lymphocytes
platelets,Platelets
AST,AST
ALP,ALP
ferritin,ferritin
MCH,MCH
calcium_serum,Calcium serum
neutrophils,Neutrophils
h_p_ylori,H_pylori
glucose,Glucose
cholesterol_triglycerides,Cholesterol triglycerides
bilirubin,Bilirubin
anti_ttg,Anti-ttg
plasma_proteins,Plasma proteins
BP,Blood pressure
amylase,Amylase
ALT,ALT
urea_serum,Urea serum
CA125,CA125
creatinine_serum,Creatinine serum
albumin_serum,Albumin serum
WCC,WBC
creatinine_urine,Creatinine urine
iron,Iron
