code,term
S85..00,Open wound of chest wall
656..00,Tetanus vaccination
G32..00,Old myocardial infarction
P21..00,Microcephalus
P02..00,Iniencephaly
A76..00,Trachoma
K26..00,Male infertility
G78..00,Occlusion of artery
1B6..00,Disturbance of consciousness
A70..00,Viral hepatitis
A16..00,Tuberculosis of genitourinary system
PC8..00,Congenital anomaly of male genital system
Ny2..00,Repetitive strain injury
A24..00,Glanders
44R..00,Lipoprotein electrophoresis
A53..00,Herpes zoster infection
44N..00,Serum protein electrophoresis
F4A..00,Keratitis
S30..00,Fracture of neck of femur
H27..00,Influenza
P30..00,Anophthalmos
PK5..00,Tuberous sclerosis
P71..00,Coarctation of aorta
P58..00,Double outlet left ventricle
4KL..00,Specimen shows excessive cytolysis
K0F..00,Radiation nephritis
4L0..00,Phenotype observable
H18..00,Vasomotor rhinitis
S21..00,Fracture of scapula
S82..00,Open wound of ear
F57..00,Otosclerosis
P45..00,Congenital webbing of neck
49N..00,"Semen analysis, post vasectomy"
SN1..00,Effects of reduced temperature
G12..00,Rheumatic aortic valve disease
28R..00,Impaired insight
H34..00,Bronchiectasis
AB4..00,Histoplasmosis
PH1..00,Congenital ichthyosis
61...00,Contraception
P68..00,Congenital heart disease
K0G..00,Sickle cell nephropathy
A55..00,Measles
19C..00,Constipation
8FA..00,Pulmonary rehabilitation
F59..00,Hearing loss
652..00,Typhoid vaccination
G50..00,Acute pericarditis
H01..00,Acute sinusitis
S34..00,Fracture of ankle
58D..00,Ultrasound scan
L21..00,Multiple pregnancy
A60..00,Yellow fever
L02..00,Missed abortion
S80..00,Open wound of ocular adnexa
L04..00,Spontaneous abortion
H03..00,Acute tonsillitis
28D..00,Confabulation
G81..00,Portal vein thrombosis
1BO..00,Mood swings
K00..00,Acute glomerulonephritis
F2A..00,Hemiparesis
616..00,Contraceptive diaphragm
K02..00,Chronic glomerulonephritis
AA3..00,Pinta
1M...00,Pain
H41..00,Asbestosis
J37..00,Lumbar hernia
S2...00,Fracture of upper limb
A36..00,Meningococcal infection
GA...00,Rheumatic heart disease
F45..00,Glaucoma
