MedicalTerm,Readcode
2ry_polycythaemia,"['D410000', 'D410011', 'D410100', 'D410200', 'D410300', 'D410400', 'D410.00', 'D410z00']"
AAA,"['7A11000', '7A11200', '7A11211', '7A13.00', '7A13.11', '7A13300', '7A13400', '7A13411', '7A13y00', '7A13z00', 'G714.00', 'G714.11', 'G716.00', 'G716000', '14AE.00']"
ADHD,"['6A61.00', '8BPT.00', '9Ngp.00', 'E2E0100', 'E2E1.00', 'E2E2.00', 'E2E..00', 'E2E..11', 'E2Ey.00', 'E2Ez.00', 'Eu84400', 'Eu90000', 'Eu90011', 'Eu90100', 'Eu90111', 'Eu90.00', 'Eu90y00', 'Eu90z00', 'Eu90z11', 'Eu90z12']"
AF,"['14AN.00', '14AR.00', '212R.00', '662S.00', '6A9..00', '9Os..00', '9Os0.00', '9Os1.00', '9Os2.00', '9Os3.00', '9Os4.00', '9hF..00', '9hF1.00', 'G573200', 'G573400', 'G573500', '3272.00', 'G573000', 'G573300', 'G573.00', 'G573z00', '3273.00', 'G573100']"
BAD,"['146D.00', '1S42.00', '212V.00', 'E110000', 'E110100', 'E110200', 'E110300', 'E110400', 'E110500', 'E110600', 'E110.00', 'E110.11', 'E110z00', 'E111000', 'E111100', 'E111200', 'E111300', 'E111400', 'E111500', 'E111600', 'E111.00', 'E111z00', 'E114000', 'E114100', 'E114200', 'E114300', 'E114400', 'E114500', 'E114600', 'E114.00', 'E114.11', 'E114z00', 'E115000', 'E115100', 'E115200', 'E115300', 'E115400', 'E115500', 'E115600', 'E115.00', 'E115.11', 'E115z00', 'E116000', 'E116100', 'E116200', 'E116300', 'E116400', 'E116500', 'E116600', 'E116.00', 'E116z00', 'E117000', 'E117100', 'E117200', 'E117300', 'E117400', 'E117500', 'E117600', 'E117.00', 'E117z00', 'E11..11', 'E11..13', 'E11y000', 'E11y100', 'E11y300', 'E11y.00', 'E11yz00', 'Eu30000', 'Eu30100', 'Eu30200', 'Eu30211', 'Eu30212', 'Eu30.00', 'Eu30.11', 'Eu30y00', 'Eu30z00', 'Eu30z11', 'Eu31000', 'Eu31100', 'Eu31200', 'Eu31300', 'Eu31400', 'Eu31500', 'Eu31600', 'Eu31700', 'Eu31800', 'Eu31900', 'Eu31911', 'Eu31.00', 'Eu31.11', 'Eu31.12', 'Eu31.13', 'Eu31y00', 'Eu31y11', 'Eu31y12', 'Eu31z00', 'Eu33213', 'Eu33312', 'ZRby100', 'ZV11111', 'ZV11112']"
BPH,"['14E1.00', '1AA..00', 'K200.00', 'K201.00', 'K202.00', 'K20..00', 'K20..14', 'K20..15', 'K20..16', 'K20z.00']"
CF,"['66k0.00', '66k..00', 'C10N100', 'C370000', 'C370100', 'C370111', 'C370200', 'C370300', 'C370400', 'C370500', 'C370700', 'C370800', 'C370900', 'C370.00', 'C370.11', 'C370.12', 'C370y00', 'C370z00']"
CHD_NOS,"['14AL.00', '6A2..00', '6A4..00', '8B3k.00', '8H2V.00', 'G3...00', 'G3...11', 'G3...12', 'G3...13', 'G31..00', 'G311000', 'G311011', 'G31y.00', 'G31y200', 'G31y300', 'G31yz00', 'G34..00', 'G340.00', 'G340.12', 'G343.00', 'G344.00', 'G34y.00', 'G34y100', 'G34yz00', 'G34z.00', 'G34z000', 'G3y..00', 'G3z..00', 'Gyu3.00', 'Gyu3200', 'Gyu3300']"
COPD,"['14B3.12', 'H310000', 'H310.00', 'H310z00', 'H311000', 'H311100', 'H311.00', 'H311z00', 'H312000', 'H312011', 'H312100', 'H312200', 'H312300', 'H312.00', 'H312z00', 'H313.00', 'H31..00', 'H31y100', 'H31y.00', 'H31yz00', 'H31z.00', 'H320000', 'H320100', 'H320200', 'H320300', 'H320.00', 'H320z00', 'H321.00', 'H322.00', 'H32..00', 'H32y000', 'H32y100', 'H32y111', 'H32y200', 'H32y.00', 'H32yz00', 'H32z.00', 'H36..00', 'H37..00', 'H38..00', 'H39..00', 'H3A..00', 'H3...00', 'H3...11', 'H3y0.00', 'H3y1.00', 'H3y..00', 'H3y..11', 'H3z..00', 'H3z..11', 'H464000', 'H464100', 'H583200', 'Hyu3000', 'Hyu3100']"
ED,"['1ABB.00', '1ABC.00', '1D1B.00', '7A6G000', '7A6G500', '7C25B00', '7C25E00', '7C25F00', '8BB4.00', '8HTj.00', 'E227300', 'E227311', 'Eu52200', 'Eu52212', 'Eu52213', 'K27y100', 'K27y700', 'Z9E9.00', 'ZG43600']"
