MedicalTerm,medcodes,prodcodeids,medcodes2,ReadcodeList
secondary_polycythaemia,,,"[494050018, 486571018, 483065013, 294491014, 294492019, 1216509016, 294495017]","['D410000', 'D410011', 'D410100', 'D410200', 'D410300', 'D410400', 'D410.00', 'D410z00']"
ADHD,,,"[1551611000000112, 1885221000006117, 1885231000006119, 1885241000006112, 1886751000006113, 1886761000006110, 1886771000006115, 1742541000006113, 1742551000006110, 1742561000006112, 550441000006114, 2163264017, 295618015, 498881000006117, 295621018, 295622013, 295623015, 295624014, 295625010, 417681000006116, 389281000006118, 296687014, 366481000006113, 389251000006114, 389261000006111, 296689012, 296690015, 389291000006115, 389301000006119, 486106015, 3068161000006118]","['6A61.00', '8BPT.00', '9Ngp.00', 'E2E0100', 'E2E1.00', 'E2E2.00', 'E2E..00', 'E2E..11', 'E2Ey.00', 'E2Ez.00', 'Eu84400', 'Eu90000', 'Eu90011', 'Eu90100', 'Eu90111', 'Eu90.00', 'Eu90y00', 'Eu90z00', 'Eu90z11', 'Eu90z12']"
ALP,"[3427261000006112, 3427251000006110, 3427211000006114, 15081191000006112, 411751016, 6278371000006118, 6278361000006113, 3943081000006118, 317640017, 1627861000006118, 1484991014, 6516881000006111, 5522221000006117, 15076911000006119, 1485008016, 258940017, 150381000006115, 6278401000006115, 5522201000006110, 258924015, 258925019, 15076901000006117, 96961000006113]",,,
ALT,"[12702511000006119, 128011000000115, 1484990010, 15076941000006115, 15076981000006114, 1897721000006117, 3057131000006118, 3057141000006111, 3057151000006113, 3057161000006110, 3057171000006115, 3057181000006117, 306221000000119, 3424761000006112, 3424791000006116, 3424811000006117, 3424821000006113, 3424851000006116, 373701016, 373702011, 4599241000006115, 4599271000006111, 478531000006112, 478541000006119, 6516861000006118, 6516871000006113, 6782221000006113, 6782231000006111, 6782241000006118, 8061191000006119, 8061201000006116, 8311661000006117]",,,
AST,"[1222531013, 14068691000006117, 146761000006113, 146771000006118, 15077101000006117, 15077111000006119, 1781021000006114, 219691000000115, 258974018, 258975017, 258976016, 2917531000006119, 2917631000006115, 2917641000006113, 3241161000006112, 3241201000006118, 373708010, 457989010, 496011000006119, 5288351000006119, 5288361000006117, 5288371000006112, 6037201000006111, 6037211000006114, 6037221000006118, 6384071000006111, 6384081000006114, 8412131000006119, 8412141000006112]",,,
Antacid,,"[2261341000033111, 12354841000033117, 12354941000033113, 3849741000033117, 3298641000033116, 5541000033114, 36041000033118, 40141000033115, 36741000033115, 4817041000033117, 37441000033113, 36541000033111, 12206741000033117, 3216541000033115, 83541000033113, 84141000033118, 86341000033110, 2943541000033114, 2943641000033110, 85241000033112, 4805641000033119, 4805541000033115, 212241000033110, 252041000033114, 257741000033110, 367841000033119, 2971741000033118, 3088441000033111, 3088341000033117, 14064341000033113, 3088541000033112, 627141000033112, 624741000033117, 624041000033115, 624241000033111, 624341000033118, 626341000033113, 626741000033114, 626841000033116, 624841000033110, 3246841000033114, 3839741000033116, 2730941000033116, 6057641000033111, 5090041000033112, 4212341000033112, 4895141000033114, 4895241000033119, 6167341000033115, 13393741000033112, 5090241000033116, 5090141000033111, 4503841000033118, 3290941000033113, 3291041000033115, 3291141000033116, 5071241000033116, 3291241000033111, 3291341000033118, 3291441000033112, 5071441000033115, 9069841000033115, 765641000033113, 806241000033117, 12910341000033119, 869641000033113, 867241000033115, 901741000033113, 896641000033117, 893841000033113, 894341000033118, 1665041000033113, 3335441000033111, 1140141000033112, 1128541000033115, 1127541000033116, 6430941000033111, 4897941000033115, 1891141000033118, 6167041000033117, 6166741000033116, 3839541000033112, 6166841000033114, 6166941000033118, 12206841000033110, 1337841000033113, 3110141000033112, 11616041000033119, 7688341000033118, 8870341000033110, 3110041000033113, 3109941000033117, 3839841000033114, 3160241000033116, 3160441000033115, 3246741000033116, 3160341000033114, 1452441000033116, 6512841000033117, 8870441000033116, 7688441000033112, 2264841000033116]",,
Antibiotics,,"[24841000033116, 24941000033112, 37341000033119, 46141000033118, 45641000033115, 45441000033117, 45541000033116, 13707941000033117, 3079141000033118, 3079941000033116, 3079241000033113, 46841000033112, 47241000033111, 47341000033118, 47441000033112, 54041000033110, 44041000033113, 53941000033113, 44141000033112, 44541000033115, 117341000033117, 620241000033118, 620341000033111, 1025441000033118, 1044041000033111, 1044141000033110, 1671741000033118, 1671841000033111, 1.37079410000e+16, 3079141000033110, 3079941000033110, 3079241000033110, 1671741000033110, 1671841000033110, 6030241000033111, 3838541000033117, 3838641000033116, 282141000033118, 3838741000033113, 287441000033111, 277841000033115, 285341000033110, 805741000033118, 805441000033113, 805341000033119, 804941000033116, 2290741000033117]",,
Antiemetic,,"[4021041000033117, 3836841000033119, 173841000033113, 2969141000033110, 258041000033111, 260041000033116, 4020941000033110, 251741000033118, 3246341000033117, 13562141000033117, 394341000033116, 6001441000033112, 6001541000033113, 5851841000033116, 470841000033115, 465041000033110, 3179641000033116, 480141000033118, 2832741000033116, 8538841000033118, 481241000033118, 479241000033113, 479141000033118, 627041000033113, 627541000033115, 733141000033111, 2869341000033118, 743341000033113, 1618641000033113, 2927441000033116, 2927541000033115, 743241000033115, 5054541000033119, 8185341000033117, 5993641000033116, 8301641000033119, 5970541000033118, 2927641000033119, 3934141000033114, 868541000033117, 869341000033117, 867841000033116, 858041000033117, 8266041000033111, 2888441000033117, 897641000033119, 890641000033115, 903441000033117, 899541000033114, 893941000033117, 874141000033110, 2086841000033117, 918441000033110, 2832941000033118, 936841000033117, 934041000033116, 934541000033114, 8538941000033114, 948841000033119, 1512741000033113, 1005841000033110, 1780541000033119, 8554541000033113, 5809341000033115, 1005941000033119, 1005741000033117, 1780641000033118, 8554641000033114, 5809441000033114, 1006041000033112, 14132041000033115, 3939441000033117, 3935341000033113, 3179741000033113, 3180041000033110, 1846641000033110, 1038541000033113, 1040541000033110, 1041441000033117, 1079441000033117, 1079541000033116, 1071241000033117, 1080741000033112, 4434541000033117, 1128641000033119, 1133541000033114, 1139841000033114, 3108841000033119, 1128741000033111, 1133641000033110, 3109141000033119, 1127741000033112, 1127841000033119, 1114141000033111, 1134541000033111, 2922241000033119, 1134641000033112, 14052341000033112, 1130941000033113, 12353441000033117, 2888541000033116, 8554741000033117, 8554841000033110, 1367741000033112, 1385741000033115, 1386541000033117, 1385841000033113, 1386641000033116, 1386041000033110, 1384241000033110, 1387041000033112, 1376841000033113, 4434641000033116, 8266141000033110, 1453841000033111, 1504541000033111, 2653441000033112, 1561941000033115, 1562041000033114, 1561741000033118, 1563141000033118, 1780341000033114, 1780441000033115]",,
Asian,"[, 286020010, 158361000000116, 1968151000006117, 1968321000006111, 1968161000006115, 1968331000006114, 1968131000006112, 1968301000006118, 1968141000006119, 1968311000006115, 1968171000006110, 1968341000006116, 1968501000006111, 1968511000006114, 1968491000006115, 1968481000006118, 1968521000006118, 285956019, 1564291000006119, 937541000006115, 1564361000006117, 141561000000119, 1564401000006110, 1564431000006119, 1564451000006114, 550541000006110, 1564521000006118, 56590016, 141401000000117, 250230013, 1564721000006110, 501416013, 1564731000006113, 141641000000116, 3748491000006113, 157351000000115, 1564921000006112, 781081000006113, 285954016, 157271000000119, 250228011, 3548651000006118, 411584018, 1564931000006110, 2849971000006118, 1565011000006116, 196661000006114, 141631000000113, 141531000000112, 1565071000006113, 1565081000006111, 196671000006119, 1565211000006111, 141651000000118, 1565311000006119, 1745831000006112, 1572831000000110, 412016016, 5580031000006118, 196701000006118, 285977016, 141381000000117, 459784018, 937651000006117, 1565441000006111, 285955015, 141361000000114, 141521000000110, 196631000006117, 196651000006112, 196721000006111, 1565661000006112, 157301000000116, 286018012, 4918031000006119, 1565731000006112, 136081000000111, 141551000000117, 3856731000006119, 1565951000006119, 456650013, 141621000000111]",,,
Aspirin,,"[1566241000033119, 5510041000033113, 37541000033114, 63141000033118, 1571541000033117, 86841000033118, 82641000033118, 84941000033116, 83241000033111, 84341000033115, 87441000033118, 87541000033117, 13862341000033115, 13862341000033116, 3934341000033112, 3849841000033110, 3836841000033119, 5331041000033113, 88041000033114, 86941000033114, 5151341000033116, 2085241000033111, 12352041000033117, 1580441000033119, 371041000033112, 370941000033119, 3934441000033118, 3160741000033110, 452441000033116, 1739641000033115, 1739541000033116, 818541000033118, 4431941000033114, 2086841000033117, 8619141000033116, 993441000033119, 1041641000033115, 1093541000033110, 1184041000033110]",,
